id;id_campagne;statut;fichier;date_debut;date_fin
1;37454;Directives application Home Loan Account;Dam;2019-05-23T07:24:58;2019-05-23T08:25:17
2;45924;seamless Metal deposit;Producer;2019-05-22T13:50:13;2019-05-22T11:17:26
3;21233;Chips;Money Market Account;2019-05-22T19:08:09;2019-05-22T21:13:17
4;706;Home Namibia;Steel zero administration;2019-05-23T01:01:22;2019-05-23T04:13:44
5;45606;bluetooth;syndicate;2019-05-22T10:13:05;2019-05-22T19:35:52
6;46676;HDD;Table Small Frozen Sausages Planner;2019-05-22T14:24:51;2019-05-23T00:33:56
7;30461;Intelligent;Monitored Bahamian Dollar Investment Account;2019-05-22T13:49:08;2019-05-23T08:59:24
8;17336;incentivize Tuna copy;Costa Rica Mayotte;2019-05-23T05:22:44;2019-05-23T09:03:50
9;96958;connect Markets Chief;capacitor archive;2019-05-22T20:07:30;2019-05-23T05:06:43
10;52083;Tactics;scale interactive generating;2019-05-23T01:15:12;2019-05-22T10:38:59
