id;max_envoi;envoi_en_cours;debut_horaire;fin_horaire
1;69189;44842;2019-05-22T18:10:07;2019-05-22T09:56:56
2;22426;17592;2019-05-22T16:43:24;2019-05-23T09:22:54
3;23724;49389;2019-05-23T02:00:22;2019-05-23T05:31:26
4;74649;36646;2019-05-22T18:13:28;2019-05-22T15:57:20
5;84922;72093;2019-05-22T18:01:59;2019-05-23T02:25:20
6;56830;54254;2019-05-23T07:34:02;2019-05-22T21:36:15
7;36771;63633;2019-05-23T03:27:03;2019-05-23T03:48:16
8;24398;58987;2019-05-22T10:27:49;2019-05-22T10:19:20
9;39309;48674;2019-05-22T12:24:24;2019-05-22T12:04:10
10;63113;43439;2019-05-22T14:44:25;2019-05-23T01:24:49
